episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.20599999999999996,-0.2780000000000001,-0.038339285714285735,74.35714285714286,56,4164,False,4164,56,1,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-16-45,1577967405,6.890993118286133,6.890993118286133,12640,Francesco-PC,132.239.10.91,6.890993118286133,4164,1,6,b4c1df64,0.40169609754479774,0.38206834863377986,1.7737308440649422,4096,4164,1928.238,87.601,3640.901,1115.931,0.20000000298023224,9.999999747378752e-05,-0.028303755447268486,-0.03728462755680084,0.0044647278264164925,0.23417775332927704,0.022580716758966446,2.0948150157928467,0.0
0.248,-0.2780000000000001,0.007429999999999984,76.14,55,4290,False,8454,111,2,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-16-49,1577967409,3.9718024730682373,10.86279559135437,12640,Francesco-PC,132.239.10.91,10.86279559135437,8454,2,6,b4c1df64,0.3934706166619078,0.3737117275798941,1.6157860683134717,8320,8454,1712.097,45.842,3047.15,561.822,0.30000001192092896,9.999999747378752e-05,-0.024497367441654205,-0.03558984026312828,0.00518454983830452,0.22945411503314972,0.019693080335855484,2.0824332237243652,0.0
0.3640000000000001,-0.32699999999999996,0.06873999999999998,77.32,55,4227,False,12681,166,3,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-16-53,1577967413,3.9541237354278564,14.816919326782227,12640,Francesco-PC,132.239.10.91,14.816919326782227,12681,3,6,b4c1df64,0.38087379460015297,0.3628247098313709,1.408908682813811,12544,12681,1592.266,31.231,2893.024,376.063,0.30000001192092896,9.999999747378752e-05,-0.021849941462278366,-0.03489533066749573,0.007281125523149967,0.1777937114238739,0.019214211031794548,2.0499508380889893,0.0
0.40599999999999997,-0.32699999999999996,0.12990000000000002,75.61,57,4166,False,16847,223,4,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-16-58,1577967418,5.494393825531006,20.311313152313232,12640,Francesco-PC,132.239.10.91,20.311313152313232,16847,4,6,b4c1df64,0.3843999560233048,0.3665636351307539,1.410255351650877,16640,16847,1702.726,24.682,3025.789,283.547,0.30000001192092896,9.999999747378752e-05,-0.021036488935351372,-0.032948851585388184,0.0063768550753593445,0.4139537811279297,0.018451686948537827,2.0013928413391113,0.0
0.419,-0.07700000000000004,0.22765999999999997,72.96,62,4425,False,21272,285,5,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-17-04,1577967424,5.434891223907471,25.746204376220703,12640,Francesco-PC,132.239.10.91,25.746204376220703,21272,5,6,b4c1df64,0.39627759009196317,0.37788434005169064,1.527820052338641,20992,21272,1846.344,20.408,3018.204,229.049,0.30000001192092896,9.999999747378752e-05,-0.01893937774002552,-0.027949277311563492,0.003711833618581295,0.6546576023101807,0.017660224810242653,1.989037036895752,0.0
0.437,0.011999999999999976,0.2864499999999999,69.65,65,4443,False,25715,350,6,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-17-10,1577967430,6.216092824935913,31.962297201156616,12640,Francesco-PC,132.239.10.91,31.962297201156616,25715,6,6,b4c1df64,0.4011422765008732,0.3822474475624804,1.5746567039017652,25344,25715,1874.036,17.384,3211.648,191.826,0.30000001192092896,9.999999747378752e-05,-0.024612801149487495,-0.03297369182109833,0.0025426128413528204,0.8006796836853027,0.01939425803720951,1.931562066078186,0.0
0.437,0.11200000000000002,0.31414000000000003,69.86,59,4194,False,29909,409,7,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-17-15,1577967435,5.4754860401153564,37.43778324127197,12640,Francesco-PC,132.239.10.91,37.43778324127197,29909,7,6,b4c1df64,0.4024699653801979,0.3833434897861563,1.6045504807929882,29440,29909,1925.677,15.486,3212.57,165.413,0.30000001192092896,9.999999747378752e-05,-0.021472688764333725,-0.02742617204785347,0.002418806543573737,0.8189441561698914,0.011782247573137283,1.9032471179962158,0.0
0.4360000000000001,0.12599999999999997,0.3365700000000001,68.65,64,4292,False,34201,473,8,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-17-21,1577967441,5.313676118850708,42.75145936012268,12640,Francesco-PC,132.239.10.91,42.75145936012268,34201,8,6,b4c1df64,0.40516743219373796,0.38556398603564423,1.6373573366911065,33664,34201,1928.266,13.867,3229.515,145.425,0.30000001192092896,9.999999747378752e-05,-0.024256974458694458,-0.031028443947434425,0.002128048101440072,0.8610512018203735,0.015478065237402916,1.8870517015457153,0.0
0.4410000000000001,0.15599999999999997,0.37413,62.48,71,4301,False,38502,544,9,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-17-26,1577967446,5.377349615097046,48.12880897521973,12640,Francesco-PC,132.239.10.91,48.12880897521973,38502,9,6,b4c1df64,0.4086828677643983,0.3876853416744416,1.6591721515658258,37888,38502,1945.617,12.711,3233.89,130.287,0.30000001192092896,9.999999747378752e-05,-0.03095576912164688,-0.03830137848854065,0.0013404537457972765,0.9199403524398804,0.02001718431711197,1.8296489715576172,0.0
0.449,0.09999999999999999,0.3835700000000001,59.04,75,4418,False,42920,619,10,889b1af4f7bd4033a008da692a52ebe3,2020-01-02_04-17-32,1577967452,5.740315198898315,53.86912417411804,12640,Francesco-PC,132.239.10.91,53.86912417411804,42920,10,6,b4c1df64,0.4128038167096913,0.39075215405736896,1.6970864334034355,42240,42920,1998.578,11.813,3234.608,117.848,0.44999998807907104,9.999999747378752e-05,-0.026788637042045593,-0.034889671951532364,0.0015223575755953789,0.9197609424591064,0.014619283378124237,1.836254596710205,0.0
